"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 2004","38.89","38.82","39.54","38.49","11.37M","0.78%"
"Jan 01, 2004","38.59","38.20","38.80","38.10","9.69M","1.85%"
"Dec 31, 2003","37.89","37.08","38.18","36.65","14.34M","2.74%"
"Dec 30, 2003","36.88","38.45","38.45","36.11","14.33M","-1.34%"
"Dec 29, 2003","37.38","36.01","37.83","35.80","13.28M","4.09%"
"Dec 26, 2003","35.91","36.26","36.29","35.65","5.85M","0.22%"
"Dec 24, 2003","35.83","35.90","36.22","35.12","8.64M","0.59%"
"Dec 23, 2003","35.62","36.59","36.70","35.35","11.10M","-1.74%"
"Dec 22, 2003","36.25","35.42","36.63","34.73","19.16M","3.69%"
"Dec 19, 2003","34.96","35.64","35.97","34.76","6.78M","-0.88%"
"Dec 18, 2003","35.27","34.72","35.35","34.72","6.04M","1.85%"
"Dec 17, 2003","34.63","35.04","35.13","34.26","8.20M","-1.03%"
"Dec 16, 2003","34.99","35.47","35.47","34.43","6.83M","-1.41%"
"Dec 15, 2003","35.49","35.54","35.64","34.89","6.32M","1.43%"
"Dec 12, 2003","34.99","35.10","35.47","34.64","12.56M","0.72%"
"Dec 11, 2003","34.74","34.36","35.02","33.91","11.77M","2.00%"
"Dec 10, 2003","34.06","33.51","34.36","33.50","11.19M","1.04%"
"Dec 09, 2003","33.71","33.85","34.11","33.06","11.79M","0.39%"
"Dec 08, 2003","33.58","33.61","33.86","32.34","11.46M","0.27%"
"Dec 05, 2003","33.49","34.83","34.83","33.15","10.07M","-2.76%"
"Dec 04, 2003","34.44","34.73","35.22","34.25","14.12M","-0.81%"
"Dec 03, 2003","34.72","35.69","35.69","34.38","14.16M","-1.11%"
"Dec 02, 2003","35.11","36.47","36.84","34.26","15.25M","-2.58%"
"Dec 01, 2003","36.04","33.99","36.44","33.73","17.46M","7.87%"
"Nov 28, 2003","33.41","34.23","34.41","33.18","9.24M","-2.79%"
"Nov 27, 2003","34.37","33.71","34.70","32.89","21.08M","2.72%"
"Nov 25, 2003","33.46","33.49","34.42","33.24","23.04M","1.89%"
"Nov 24, 2003","32.84","31.65","33.61","30.64","31.75M","5.32%"
"Nov 21, 2003","31.18","30.00","31.63","29.72","14.32M","4.14%"
"Nov 20, 2003","29.94","30.61","31.17","29.66","14.88M","-2.19%"
"Nov 19, 2003","30.61","28.90","30.92","28.55","25.13M","5.70%"
"Nov 18, 2003","28.96","29.15","29.68","28.78","8.27M","-1.73%"
"Nov 17, 2003","29.47","29.39","29.63","28.35","7.61M","2.93%"
"Nov 14, 2003","28.63","28.95","29.62","28.41","11.19M","-0.56%"
"Nov 13, 2003","28.79","31.39","31.63","28.16","20.00M","-7.81%"
"Nov 12, 2003","31.23","30.19","31.60","30.05","17.50M","4.41%"
"Nov 11, 2003","29.91","29.77","30.44","29.40","9.85M","0.37%"
"Nov 10, 2003","29.80","29.79","30.09","28.90","3.81M","-2.17%"
"Nov 07, 2003","30.46","31.39","32.25","30.10","13.97M","-2.71%"
"Nov 06, 2003","31.31","31.26","31.50","30.43","18.52M","-0.60%"
"Nov 05, 2003","31.50","29.77","31.91","28.90","33.94M","6.45%"
"Nov 04, 2003","29.59","29.50","30.87","29.03","20.29M","1.41%"
"Nov 03, 2003","29.18","27.26","29.52","27.26","23.13M","8.44%"
"Oct 31, 2003","26.91","25.79","27.14","25.68","21.90M","5.49%"
"Oct 30, 2003","25.51","24.34","25.80","24.12","23.34M","5.07%"
"Oct 29, 2003","24.28","24.23","24.50","24.09","5.73M","1.80%"
"Oct 28, 2003","23.85","24.19","24.19","23.57","5.84M","-0.13%"
"Oct 27, 2003","23.88","24.93","24.98","23.70","3.76M","-4.75%"
"Oct 24, 2003","25.07","24.55","25.18","23.83","7.79M","2.54%"
"Oct 23, 2003","24.45","24.37","24.91","24.12","9.27M","-0.33%"
"Oct 22, 2003","24.53","24.81","25.06","24.00","10.47M","-0.20%"
"Oct 21, 2003","24.58","25.07","25.43","24.19","9.51M","-2.03%"
"Oct 20, 2003","25.09","25.40","25.66","24.82","12.01M","-1.61%"
"Oct 17, 2003","25.50","24.56","25.60","24.44","20.14M","4.98%"
"Oct 16, 2003","24.29","25.11","25.43","24.07","12.75M","-3.19%"
"Oct 15, 2003","25.09","25.55","25.55","24.27","15.01M","-0.48%"
"Oct 14, 2003","25.21","24.12","25.83","23.91","37.85M","4.78%"
"Oct 13, 2003","24.06","24.31","24.73","23.83","14.82M","-0.41%"
"Oct 10, 2003","24.16","24.08","25.68","23.73","17.40M","3.56%"
"Oct 09, 2003","23.33","23.19","23.69","23.08","15.36M","1.83%"
"Oct 08, 2003","22.91","22.34","23.24","22.30","16.58M","1.33%"
"Oct 07, 2003","22.61","23.29","23.29","22.39","12.39M","-1.74%"
"Oct 06, 2003","23.01","22.17","23.16","22.17","13.84M","4.21%"
"Oct 03, 2003","22.08","22.08","22.62","21.61","17.71M","0.36%"
"Oct 01, 2003","22.00","21.23","22.26","21.11","17.69M","2.80%"
"Sep 30, 2003","21.40","21.51","21.86","21.18","12.12M","1.23%"
"Sep 29, 2003","21.14","21.28","21.57","20.74","16.05M","0.81%"
"Sep 26, 2003","20.97","20.06","21.07","19.98","20.39M","5.06%"
"Sep 25, 2003","19.96","20.19","20.34","19.85","19.94M","-2.30%"
"Sep 24, 2003","20.43","20.34","20.54","19.60","22.52M","3.92%"
"Sep 23, 2003","19.66","20.09","20.18","19.13","19.58M","-1.60%"
"Sep 22, 2003","19.98","20.96","21.06","19.88","9.90M","-2.54%"
"Sep 19, 2003","20.50","20.22","20.92","19.99","19.75M","2.60%"
"Sep 18, 2003","19.98","21.09","21.09","19.80","14.87M","-3.38%"
"Sep 17, 2003","20.68","20.34","21.71","20.34","29.51M","2.07%"
"Sep 16, 2003","20.26","20.47","20.81","18.85","41.20M","0.35%"
"Sep 15, 2003","20.19","24.62","24.62","19.86","62.88M","-18.13%"
"Sep 12, 2003","24.66","26.42","26.64","24.06","17.95M","-5.88%"
"Sep 11, 2003","26.20","26.26","26.66","25.68","19.35M","-0.95%"
"Sep 10, 2003","26.45","26.85","26.85","25.70","13.30M","-1.31%"
"Sep 09, 2003","26.80","28.33","28.37","26.42","18.33M","-3.32%"
"Sep 08, 2003","27.72","26.48","27.91","26.32","21.99M","5.40%"
"Sep 05, 2003","26.30","26.92","26.92","25.71","17.74M","1.27%"
"Sep 04, 2003","25.97","24.46","26.39","24.46","23.69M","7.36%"
